fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes
CEMADEN,260210001C,BOM CONSELHO,BOM CONSELHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.184638,-9.184638,-36.710027,-36.710027,54700,2017-01-07T17:40:00Z,2025-04-15T20:00:00Z,2017;2018;2019;2020;2022;2023;2024;2025,0,0,2,0
CEMADEN,260220901A,BOM JARDIM - APAC | Centro - APAC,BOM JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.791,-7.791,-35.595889,-35.595889,51247,2017-12-17T13:00:00Z,2025-12-31T23:10:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1562,0
CEMADEN,260220902A,G2-260220902A | G2-Bizarra,BOM JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.759104,-7.75748,-35.569093,-35.48325,3440,2025-09-12T19:20:00Z,2025-12-31T23:10:00Z,2025,0,0,1558,0
CEMADEN,260220903A,G2-260220903A | G2-Tamboatá,BOM JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.781599,-7.7812,-35.6729,-35.672718,3420,2025-09-12T19:20:00Z,2025-12-31T23:10:00Z,2025,0,0,1532,0
CEMADEN,260220904A,G2-260220904A | G2-Encruzilhada,BOM JARDIM,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.8328,-7.832761,-35.6075,-35.607486,4036,2025-08-13T19:00:00Z,2025-12-31T23:10:00Z,2025,0,0,1560,0
CEMADEN,260230801A,BONITO - APAC | Colégio Paulo Queiroz - Centro - APAC,BONITO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.478559,-8.478559,-35.723527,-35.723527,79552,2017-12-16T07:30:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1748,0
CEMADEN,260230802A,BONITO 2 - APAC,BONITO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.527204,-8.527204,-35.723541,-35.723541,44887,2019-11-08T08:20:00Z,2025-09-19T01:40:00Z,2019;2020;2021;2022;2023;2024;2025,0,0,0,0
CEMADEN,260230803A,G2-260230803A,BONITO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.39445,-8.39414,-35.72001,-35.719775,3592,2025-09-11T13:40:00Z,2025-12-31T23:10:00Z,2025,0,0,1620,0
CEMADEN,260230804A,G2-260230804A | G2-Colégio João XXIII - Alto do Bonito,BONITO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.505676,-8.505555,-35.79111,-35.79098,4102,2025-09-01T14:40:00Z,2025-12-31T23:10:00Z,2025,0,0,1654,0
CEMADEN,260230805A,G2-260230805A | G2-Colégio Manoel de Q Lima,BONITO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.47539,-8.475277,-35.731666,-35.73141,3642,2025-09-11T14:40:00Z,2025-12-31T23:10:00Z,2025,0,0,1616,0
CEMADEN,260240701C,BREJAO,BREJÃO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.046416,-9.046416,-36.569472,-36.569472,49718,2017-01-07T16:00:00Z,2024-05-18T08:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0
CEMADEN,260250601A,BREJINHO - APAC,BREJINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.34566,-7.34566,-37.2897,-37.2897,35524,2018-01-13T17:40:00Z,2025-12-23T13:20:00Z,2018;2019;2021;2022;2023;2024;2025,0,0,58,0
CEMADEN,260260501C,BREJO DA MADRE DE DEUS,BREJO DA MADRE DE DEUS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.198444,-8.198444,-36.161555,-36.161555,35634,2017-01-27T17:30:00Z,2024-08-06T20:20:00Z,2017;2018;2019;2020;2021;2022;2023;2024,0,0,2,0
CEMADEN,260270401A,BUENOS AIRES - APAC,BUENOS AIRES,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.723343,-7.723343,-35.323341,-35.323341,75353,2017-11-17T05:30:00Z,2025-09-30T16:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,0
CEMADEN,260280301A,BUIQUE - APAC,BUÍQUE,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.615,-8.615,-37.154722,-37.154722,69363,2017-12-23T14:10:00Z,2025-09-19T10:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,0
CEMADEN,260290201G,Pirapama,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.282054,-8.282031,-35.064685,-35.064672,31017,2019-10-01T00:10:00Z,2025-10-24T10:30:00Z,2019;2020;2021;2023;2024;2025,0,0,390,0
CEMADEN,260290202A,Charneca,CABO DE SANTO AGOSTINHO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.297,-8.297,-35.057,-35.057,64475,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1782,0
