fonte_dados,cod_estacao,nome_estacao,ano,n_registros,n_registros_com_valor,n_registros_sem_valor,n_datas_com_registro,n_meses_com_registro,inicio,fim,precipitacao_min,precipitacao_max
CEMADEN,260090601A,AMARAJI - APAC,2018,10618,10618,0,365,12,2018-01-01T03:20:00Z,2019-01-01T02:20:00Z,0,17.28
CEMADEN,260090601A,AMARAJI - APAC,2019,10680,10680,0,354,12,2019-01-01T03:20:00Z,2020-01-01T02:20:00Z,0,20.39
CEMADEN,260090601A,AMARAJI - APAC,2020,10242,10242,0,357,12,2020-01-01T03:10:00Z,2021-01-01T02:20:00Z,0,27.33
CEMADEN,260090601A,AMARAJI - APAC,2021,5653,5653,0,197,8,2021-01-01T03:20:00Z,2022-01-01T02:20:00Z,0,13.28
CEMADEN,260090601A,AMARAJI - APAC,2022,11461,11461,0,365,12,2022-01-01T03:20:00Z,2023-01-01T02:50:00Z,0,18.11
CEMADEN,260090601A,AMARAJI - APAC,2023,11528,11528,0,365,12,2023-01-01T03:10:00Z,2024-01-01T02:20:00Z,0,15.17
CEMADEN,260090601A,AMARAJI - APAC,2024,9847,9847,0,334,12,2024-01-01T03:20:00Z,2025-01-01T02:20:00Z,0,113.71
CEMADEN,260090601A,AMARAJI - APAC,2025,8972,8972,0,274,10,2025-01-01T03:20:00Z,2025-10-29T11:30:00Z,0,10.42
CEMADEN,260090601A,Amaraji - APAC,2025,449,449,0,26,2,2025-11-01T05:10:00Z,2025-12-25T10:20:00Z,0,5.31
CEMADEN,260090602A,G2-260090602A,2025,2741,2741,0,63,3,2025-08-30T15:50:00Z,2025-10-31T23:10:00Z,0,5.6
CEMADEN,260090602A,G2-Hospital Alice B. dos Anjos,2025,1510,1510,0,62,3,2025-11-01T00:10:00Z,2025-12-31T23:10:00Z,0,2.4
CEMADEN,260090603A,G2-260090603A,2025,2681,2681,0,63,3,2025-08-30T11:30:00Z,2025-10-31T23:10:00Z,0,6.4
CEMADEN,260090603A,G2-EM. SJ da Boa Esperança,2025,1498,1498,0,62,3,2025-11-01T00:10:00Z,2025-12-31T23:10:00Z,0,3.6
CEMADEN,260090604A,G2-260090604A,2025,1726,1726,0,52,3,2025-08-12T13:50:00Z,2025-10-29T17:00:00Z,0,7
CEMADEN,260090604A,G2-Escola Nova Esperança,2025,189,189,0,21,2,2025-11-03T16:50:00Z,2025-12-01T14:20:00Z,0,2
CEMADEN,260100301A,ANGELIM - APAC,2017,624,624,0,26,1,2017-12-06T20:50:00Z,2018-01-01T02:50:00Z,0,2.56
CEMADEN,260100301A,ANGELIM - APAC,2018,9766,9766,0,365,12,2018-01-01T03:50:00Z,2019-01-01T02:50:00Z,0,8.94
CEMADEN,260100301A,ANGELIM - APAC,2019,8038,8038,0,294,12,2019-01-01T03:50:00Z,2020-01-01T02:50:00Z,0,6901.58
CEMADEN,260100301A,ANGELIM - APAC,2020,5309,5309,0,183,7,2020-01-01T03:50:00Z,2020-07-18T13:00:00Z,0,21.03
CEMADEN,260100301A,ANGELIM - APAC,2021,2334,2334,0,92,4,2021-08-09T14:30:00Z,2021-11-27T15:10:00Z,0,3.15
CEMADEN,260100301A,ANGELIM - APAC,2022,2661,2661,0,101,4,2022-09-22T12:40:00Z,2023-01-01T02:50:00Z,0,7.92
CEMADEN,260100301A,ANGELIM - APAC,2023,10328,10328,0,365,12,2023-01-01T03:50:00Z,2024-01-01T02:50:00Z,0,10.17
CEMADEN,260100301A,ANGELIM - APAC,2024,9715,9715,0,358,12,2024-01-01T03:50:00Z,2025-01-01T02:50:00Z,0,14.92
CEMADEN,260100301A,ANGELIM - APAC,2025,5642,5642,0,217,10,2025-01-01T03:50:00Z,2025-10-01T23:50:00Z,0,16.64
CEMADEN,260105201A,ARACOIABA - APAC,2017,1262,1262,0,53,2,2017-11-09T04:00:00Z,2018-01-01T02:40:00Z,0,3.35
CEMADEN,260105201A,ARACOIABA - APAC,2018,10048,10048,0,365,12,2018-01-01T03:40:00Z,2019-01-01T02:40:00Z,0,12.8
CEMADEN,260105201A,ARACOIABA - APAC,2019,9155,9155,0,324,12,2019-01-01T03:40:00Z,2020-01-01T02:40:00Z,0,18.72
CEMADEN,260105201A,ARACOIABA - APAC,2020,10121,10121,0,366,12,2020-01-01T03:40:00Z,2021-01-01T02:40:00Z,0,16.87
CEMADEN,260105201A,ARACOIABA - APAC,2021,4802,4802,0,183,8,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,0,4.33
CEMADEN,260105201A,ARACOIABA - APAC,2022,8146,8146,0,305,12,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,0,13.43
CEMADEN,260105201A,ARACOIABA - APAC,2023,10349,10349,0,365,12,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,0,12.9
CEMADEN,260105201A,ARACOIABA - APAC,2024,9051,9051,0,346,12,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,0,253.44
CEMADEN,260105201A,ARACOIABA - APAC,2025,11649,11649,0,365,12,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,0,22.96
CEMADEN,260110201A,GERGILIN - APAC,2018,4920,4920,0,208,7,2018-06-07T11:50:00Z,2019-01-01T02:40:00Z,0,0
CEMADEN,260110201A,GERGILIN - APAC,2019,7994,7994,0,343,12,2019-01-01T03:40:00Z,2020-01-01T02:40:00Z,0,0
CEMADEN,260110201A,GERGILIN - APAC,2020,4418,4418,0,194,8,2020-01-01T03:40:00Z,2020-08-04T08:40:00Z,0,0
CEMADEN,260110201A,GERGILIN - APAC,2021,87,87,0,4,1,2021-10-26T13:40:00Z,2021-10-30T02:40:00Z,0,0.2
CEMADEN,260110201A,GERGILIN - APAC,2024,1,1,0,1,1,2024-07-11T15:20:00Z,2024-07-11T15:20:00Z,0,0
CEMADEN,260110202A,Araripina - APAC,2024,2789,2789,0,123,9,2024-02-21T15:00:00Z,2025-01-01T02:40:00Z,0,7.51
CEMADEN,260110202A,Araripina - APAC,2025,10097,10097,0,365,12,2025-01-01T03:40:00Z,2025-12-31T23:40:00Z,0,10.58
CEMADEN,260110203A,G2-260110203A,2025,1682,1682,0,40,2,2025-09-22T16:00:00Z,2025-10-31T23:10:00Z,0,0.2
CEMADEN,260110203A,G2-Lagoa do Barro,2025,1482,1482,0,62,3,2025-11-01T00:10:00Z,2025-12-31T23:10:00Z,0,9.8
CEMADEN,260110204A,G2-260110204A,2025,1756,1756,0,41,2,2025-09-10T20:10:00Z,2025-10-31T23:10:00Z,0,10.4
CEMADEN,260110204A,G2-Parque Três Vaqueiros,2025,1502,1502,0,62,3,2025-11-01T00:10:00Z,2025-12-31T23:10:00Z,0,5.4
CEMADEN,260110206A,G2-260110206A,2025,1702,1702,0,40,2,2025-09-22T13:10:00Z,2025-10-31T23:10:00Z,0,1.4
CEMADEN,260110206A,G2-Marcolândia,2025,1505,1505,0,62,3,2025-11-01T00:10:00Z,2025-12-31T23:10:00Z,0,3.4
CEMADEN,260110207A,G2-260110207A,2025,1576,1576,0,34,2,2025-09-22T14:50:00Z,2025-10-31T23:10:00Z,0,6.2
CEMADEN,260110207A,G2-Escola Luzanira Ramos,2025,1495,1495,0,62,3,2025-11-01T00:10:00Z,2025-12-31T23:10:00Z,0,9.6
CEMADEN,260120101A,IPOJUCA - APAC,2023,4580,4580,0,185,7,2023-07-01T00:20:00Z,2024-01-01T02:30:00Z,0,5.93
CEMADEN,260120101A,IPOJUCA - APAC,2024,8068,8068,0,330,12,2024-01-01T03:30:00Z,2024-12-31T19:30:00Z,0,15.8
CEMADEN,260120101A,IPOJUCA - APAC,2025,6360,6360,0,261,12,2025-01-02T07:10:00Z,2025-12-02T03:30:00Z,0,8.54
CEMADEN,260120101C,ARCOVERDE,2017,2188,2188,0,74,5,2017-05-25T09:20:00Z,2017-10-16T12:00:00Z,0,2.4
CEMADEN,260120101C,ARCOVERDE,2018,7632,7632,0,351,12,2018-01-12T18:20:00Z,2018-12-31T19:00:00Z,0,16
CEMADEN,260120101C,ARCOVERDE,2019,4664,4664,0,234,8,2019-01-01T12:00:00Z,2019-08-28T12:00:00Z,0,10.4
CEMADEN,260120101C,ARCOVERDE,2020,304,304,0,22,2,2020-06-22T14:00:00Z,2020-07-13T22:00:00Z,0,2.6
CEMADEN,260120101C,ARCOVERDE,2022,230,230,0,8,1,2022-06-23T19:30:00Z,2022-06-30T19:00:00Z,0,16
CEMADEN,260130001A,Centro,2017,16236,16236,0,365,12,2017-01-01T03:00:00Z,2018-01-01T02:20:00Z,0,9.95
CEMADEN,260130001A,Centro,2018,10332,10332,0,365,12,2018-01-01T03:20:00Z,2019-01-01T02:20:00Z,0,9.56
CEMADEN,260130001A,Centro,2019,10355,10355,0,354,12,2019-01-01T03:20:00Z,2020-01-01T02:20:00Z,0,8.34
CEMADEN,260130001A,Centro,2020,10341,10341,0,366,12,2020-01-01T03:20:00Z,2021-01-01T02:20:00Z,0,22.13
CEMADEN,260130001A,Centro,2021,10487,10487,0,365,12,2021-01-01T03:20:00Z,2022-01-01T02:20:00Z,0,6.1
CEMADEN,260130001A,Centro,2022,11178,11178,0,365,12,2022-01-01T03:20:00Z,2023-01-01T02:20:00Z,0,17.07
CEMADEN,260130001A,Centro,2023,11156,11156,0,365,12,2023-01-01T03:20:00Z,2024-01-01T02:20:00Z,0,11.39
CEMADEN,260130001A,Centro,2024,10594,10594,0,366,12,2024-01-01T03:20:00Z,2025-01-01T02:20:00Z,0,20.81
CEMADEN,260130001A,Centro,2025,9243,9243,0,305,12,2025-01-01T03:20:00Z,2025-12-31T23:20:00Z,0,69.02
CEMADEN,260130002A,BARRA DE GUABIRABA - APAC,2019,6457,6457,0,212,8,2019-05-11T01:10:00Z,2019-12-21T09:20:00Z,0,11.04
CEMADEN,260130002A,BARRA DE GUABIRABA - APAC,2020,305,305,0,43,3,2020-01-02T10:10:00Z,2020-03-12T18:40:00Z,0,0.98
