arquivo,cod_estacao,nome_estacao,tipo_estacao,variavel,coluna_detectada,coluna_encontrada
dados_82897_H_2017-01-01_2025-12-31.csv,82897,TAPACURA,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82897_H_2017-01-01_2025-12-31.csv,82897,TAPACURA,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82897_H_2017-01-01_2025-12-31.csv,82897,TAPACURA,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82897_H_2017-01-01_2025-12-31.csv,82897,TAPACURA,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82897_H_2017-01-01_2025-12-31.csv,82897,TAPACURA,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82898_H_2017-01-01_2025-12-31.csv,82898,OLINDA,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82898_H_2017-01-01_2025-12-31.csv,82898,OLINDA,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82898_H_2017-01-01_2025-12-31.csv,82898,OLINDA,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82898_H_2017-01-01_2025-12-31.csv,82898,OLINDA,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82898_H_2017-01-01_2025-12-31.csv,82898,OLINDA,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82900_H_2017-01-01_2020-08-31.csv,82900,RECIFE (CURADO),CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82900_H_2017-01-01_2020-08-31.csv,82900,RECIFE (CURADO),CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82900_H_2017-01-01_2020-08-31.csv,82900,RECIFE (CURADO),CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82900_H_2017-01-01_2020-08-31.csv,82900,RECIFE (CURADO),CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82900_H_2017-01-01_2020-08-31.csv,82900,RECIFE (CURADO),CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
dados_82983_H_2017-01-01_2025-12-31.csv,82983,PETROLINA,CONVENCIONAL,direcao_vento_graus,"VENTO, DIRECAO HORARIA(codigo)",TRUE
dados_82983_H_2017-01-01_2025-12-31.csv,82983,PETROLINA,CONVENCIONAL,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",TRUE
dados_82983_H_2017-01-01_2025-12-31.csv,82983,PETROLINA,CONVENCIONAL,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",TRUE
dados_82983_H_2017-01-01_2025-12-31.csv,82983,PETROLINA,CONVENCIONAL,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",TRUE
dados_82983_H_2017-01-01_2025-12-31.csv,82983,PETROLINA,CONVENCIONAL,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",TRUE
