cod_estacao,nome_estacao,tipo_estacao,ano,direcao_vento_graus,pressao_estacao_hpa,temperatura_ar_c,umidade_relativa_pct,velocidade_vento_ms
A329,CABROBO,AUTOMATICA,2020,99.9886156648452,99.9886156648452,99.9886156648452,49.6812386156649,99.9886156648452
A329,CABROBO,AUTOMATICA,2021,94.1438356164384,94.189497716895,94.189497716895,0,94.1438356164384
A329,CABROBO,AUTOMATICA,2022,35.6392694063927,35.6506849315069,35.6506849315069,34.5776255707763,35.6392694063927
A329,CABROBO,AUTOMATICA,2023,99.9885844748859,99.9885844748859,99.9885844748859,98.8013698630137,99.9885844748859
A329,CABROBO,AUTOMATICA,2024,100,100,100,93.8979963570127,100
A329,CABROBO,AUTOMATICA,2025,99.9543222564805,99.9543222564805,99.9543222564805,96.5627498001599,99.9543222564805
A341,CARUARU,AUTOMATICA,2017,91.9063926940639,91.9063926940639,91.9063926940639,87.3059360730594,91.9063926940639
A341,CARUARU,AUTOMATICA,2018,71.4041095890411,72.7054794520548,71.324200913242,73.3447488584475,71.4041095890411
A341,CARUARU,AUTOMATICA,2019,100,100,100,98.6986301369863,100
A341,CARUARU,AUTOMATICA,2020,100,100,100,95.5145719489982,100
A341,CARUARU,AUTOMATICA,2021,6.79223744292237,6.79223744292237,6.78082191780822,4.72602739726027,6.79223744292237
A341,CARUARU,AUTOMATICA,2022,22.3173515981735,35.7648401826484,35.7534246575342,35.7534246575342,22.3173515981735
A341,CARUARU,AUTOMATICA,2023,64.9543378995434,56.6095890410959,64.9543378995434,64.9543378995434,64.9543378995434
A341,CARUARU,AUTOMATICA,2024,93.6247723132969,92.3611111111111,93.6361566484517,93.6361566484517,93.6247723132969
A341,CARUARU,AUTOMATICA,2025,99.9657416923604,99.9657416923604,99.9657416923604,99.9657416923604,99.9657416923604
A349,IBIMIRIM,AUTOMATICA,2017,92.1118721461187,92.1118721461187,92.1118721461187,92.1118721461187,92.1118721461187
A349,IBIMIRIM,AUTOMATICA,2018,100,100,100,100,100
A349,IBIMIRIM,AUTOMATICA,2019,85.5251141552512,85.513698630137,85.5251141552512,85.5251141552512,85.5251141552512
A349,IBIMIRIM,AUTOMATICA,2020,100,100,100,100,100
A349,IBIMIRIM,AUTOMATICA,2021,99.7488584474886,99.7945205479452,99.7945205479452,99.7945205479452,99.7488584474886
A349,IBIMIRIM,AUTOMATICA,2022,86.2328767123288,86.2328767123288,86.2328767123288,86.2328767123288,86.2328767123288
A349,IBIMIRIM,AUTOMATICA,2023,99.9885844748859,100,100,21.8835616438356,99.9885844748859
A349,IBIMIRIM,AUTOMATICA,2024,42.827868852459,42.827868852459,42.827868852459,0,42.827868852459
A349,IBIMIRIM,AUTOMATICA,2025,99.9771611282403,99.9771611282403,99.9771611282403,90.601804270869,99.9771611282403
