fonte_dados,cod_estacao,ano,n_antes,n_duplicatas_exatas_removiveis,n_depois,n_arquivos
CEMADEN,261250501U,2025,8153,340,7813,12
CEMADEN,261255401A,2025,9540,753,8787,13
CEMADEN,261260401C,2025,9768,747,9021,13
CEMADEN,261270301A,2025,10480,763,9717,13
CEMADEN,261280201A,2025,10222,741,9481,13
CEMADEN,261290101A,2017,13997,1,13996,13
CEMADEN,261290101A,2025,11541,800,10741,13
CEMADEN,261300801C,2017,12488,1,12487,9
CEMADEN,261300801C,2025,3539,672,2867,7
CEMADEN,261310701A,2025,5674,11,5663,10
CEMADEN,261310702A,2025,3622,763,2859,5
CEMADEN,261310703A,2025,3719,753,2966,5
CEMADEN,261320601A,2025,10921,736,10185,13
CEMADEN,261330501A,2017,14431,1,14430,13
CEMADEN,261330501U,2025,6213,312,5901,11
CEMADEN,261340401A,2025,10241,624,9617,13
CEMADEN,261350301A,2025,8630,721,7909,11
CEMADEN,261350302A,2025,9852,707,9145,13
CEMADEN,261360201C,2017,6203,1,6202,10
CEMADEN,261370101A,2017,13466,1,13465,13
CEMADEN,261370101A,2025,11461,866,10595,13
CEMADEN,261370102A,2017,14008,1,14007,13
CEMADEN,261370103A,2017,14056,1,14055,13
CEMADEN,261370103A,2025,8173,389,7784,12
CEMADEN,261370104A,2025,11934,847,11087,13
CEMADEN,261380001A,2025,8474,366,8108,13
CEMADEN,261380002A,2025,3967,776,3191,6
CEMADEN,261390901C,2025,2790,711,2079,4
CEMADEN,261390902A,2025,2744,597,2147,5
CEMADEN,261390903A,2025,3243,740,2503,5
CEMADEN,261390904A,2025,3206,731,2475,5
CEMADEN,261400601A,2025,5922,14,5908,13
CEMADEN,261400601U,2017,5287,1,5286,13
CEMADEN,261410501A,2025,10102,741,9361,13
CEMADEN,261410501C,2017,7522,1,7521,12
CEMADEN,261410502A,2025,3467,739,2728,5
CEMADEN,261410503A,2025,3469,738,2731,5
CEMADEN,261410504A,2025,3423,737,2686,5
CEMADEN,261420401A,2017,12386,1,12385,13
CEMADEN,261420401A,2025,6384,271,6113,13
CEMADEN,261440201A,2025,10167,744,9423,13
CEMADEN,261450101A,2025,10526,752,9774,13
CEMADEN,261460001A,2025,5543,17,5526,12
CEMADEN,261470901A,2017,11268,1,11267,13
CEMADEN,261470902A,2025,10512,752,9760,13
CEMADEN,261470903A,2025,3725,758,2967,5
CEMADEN,261470904A,2025,3714,755,2959,5
CEMADEN,261480801A,2025,10566,723,9843,13
CEMADEN,261480801C,2025,3178,30,3148,13
CEMADEN,261485701A,2025,11470,826,10644,13
CEMADEN,261485702A,2025,11390,783,10607,13
CEMADEN,261500301A,2025,8919,294,8625,13
CEMADEN,261500301C,2025,4228,745,3483,6
CEMADEN,261510201A,2025,11626,781,10845,13
CEMADEN,261520101A,2025,9914,747,9167,13
CEMADEN,261520102A,2025,8871,733,8138,13
CEMADEN,261540901A,2025,8076,274,7802,13
CEMADEN,261570601A,2025,8849,366,8483,13
CEMADEN,261580501A,2025,10938,748,10190,13
CEMADEN,261580501C,2017,13429,1,13428,10
CEMADEN,261590401A,2025,6100,21,6079,13
CEMADEN,261590401C,2017,3203,1,3202,8
CEMADEN,261590401C,2025,8080,734,7346,13
