fonte_dados,cod_estacao,ano,nome_estacao,tipo_estacao,periodicidade_fonte,intervalo_modal_min,n_intervalos_modais,n_dias_com_valor,moda_n_validas,p50_n_validas,p90_n_validas,p95_n_validas,max_n_validas,n_esperado_intervalo,erro_fechamento_min,intervalo_fecha_dia,n_esperado_dia,razao_p95_esperado,cadencia_inconsistente,confianca_cadencia
CEMADEN,260090601A,2018,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7514,365,24,25,40.6,48.6,68,24,0,TRUE,24,2.025,TRUE,BAIXA
CEMADEN,260090601A,2019,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6988,354,24,25,46,54,113,24,0,TRUE,24,2.25,TRUE,BAIXA
CEMADEN,260090601A,2020,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7301,357,24,25,40,47,94,24,0,TRUE,24,1.95833333333333,TRUE,BAIXA
CEMADEN,260090601A,2021,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3929,197,24,25,40,48.4,96,24,0,TRUE,24,2.01666666666667,TRUE,BAIXA
CEMADEN,260090601A,2022,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6833,365,24,26,47.6,60.0000000000001,103,24,0,TRUE,24,2.5,TRUE,BAIXA
CEMADEN,260090601A,2023,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7360,365,24,27,48,56,99,24,0,TRUE,24,2.33333333333333,TRUE,BAIXA
CEMADEN,260090601A,2024,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6947,334,24,25,41.7,52.35,94,24,0,TRUE,24,2.18125,TRUE,BAIXA
CEMADEN,260090601A,2025,AMARAJI - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5105,300,24,25.5,52,60,126,24,0,TRUE,24,2.5,TRUE,BAIXA
CEMADEN,260090602A,2025,G2-260090602A,PLUVIOMETRICA_AUTOMATICA,,60,2584,124,24,24,36.7,41.85,86,24,0,TRUE,24,1.74375,TRUE,BAIXA
CEMADEN,260090603A,2025,G2-260090603A,PLUVIOMETRICA_AUTOMATICA,,60,2573,124,24,24,33.7,39,85,24,0,TRUE,24,1.625,TRUE,BAIXA
CEMADEN,260090604A,2025,G2-260090604A,PLUVIOMETRICA_AUTOMATICA,,60,950,73,24,24,36.6,45.4,88,24,0,TRUE,24,1.89166666666666,TRUE,BAIXA
CEMADEN,260100301A,2017,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,543,26,24,24,25.5,38.75,44,24,0,TRUE,24,1.61458333333333,TRUE,BAIXA
CEMADEN,260100301A,2018,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7958,365,24,24,33,37.8,57,24,0,TRUE,24,1.575,TRUE,BAIXA
CEMADEN,260100301A,2019,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5905,294,24,24,35.7,42,90,24,0,TRUE,24,1.75,TRUE,BAIXA
CEMADEN,260100301A,2020,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3699,183,24,26,39,43.9,69,24,0,TRUE,24,1.82916666666667,TRUE,BAIXA
CEMADEN,260100301A,2021,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,1810,92,24,24,31,34.45,49,24,0,TRUE,24,1.43541666666667,TRUE,BAIXA
CEMADEN,260100301A,2022,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,2184,101,24,24,34,43,76,24,0,TRUE,24,1.79166666666667,TRUE,BAIXA
CEMADEN,260100301A,2023,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7737,365,24,24,38,42.8,77,24,0,TRUE,24,1.78333333333333,TRUE,BAIXA
CEMADEN,260100301A,2024,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7479,358,24,24,35,42,76,24,0,TRUE,24,1.75,TRUE,BAIXA
CEMADEN,260100301A,2025,ANGELIM - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3654,217,24,24,40.8,53,90,24,0,TRUE,24,2.20833333333333,TRUE,BAIXA
CEMADEN,260105201A,2017,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,1153,53,24,24,26,27,32,24,0,TRUE,24,1.125,FALSE,ALTA
CEMADEN,260105201A,2018,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7841,365,24,25,36,40,76,24,0,TRUE,24,1.66666666666667,TRUE,BAIXA
CEMADEN,260105201A,2019,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,6664,324,24,25,37.7,44.6999999999999,102,24,0,TRUE,24,1.8625,TRUE,BAIXA
CEMADEN,260105201A,2020,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7921,366,24,25,36,41.75,80,24,0,TRUE,24,1.73958333333333,TRUE,BAIXA
CEMADEN,260105201A,2021,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,3647,183,24,24,34.8,40.9,63,24,0,TRUE,24,1.70416666666667,TRUE,BAIXA
CEMADEN,260105201A,2022,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,5638,305,24,24,40,49,83,24,0,TRUE,24,2.04166666666667,TRUE,BAIXA
CEMADEN,260105201A,2023,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7645,365,24,25,39.6,46,87,24,0,TRUE,24,1.91666666666667,TRUE,BAIXA
CEMADEN,260105201A,2024,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7446,346,24,24,32.5,38,60,24,0,TRUE,24,1.58333333333333,TRUE,BAIXA
CEMADEN,260105201A,2025,ARACOIABA - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7753,365,24,25,40,53,124,24,0,TRUE,24,2.20833333333333,TRUE,BAIXA
CEMADEN,260110201A,2018,GERGILIN - APAC,PLUVIOMETRICA_AUTOMATICA,,60,4778,208,24,24,24,24,25,24,0,TRUE,24,1,FALSE,ALTA
CEMADEN,260110201A,2019,GERGILIN - APAC,PLUVIOMETRICA_AUTOMATICA,,60,7871,343,24,24,24,24,25,24,0,TRUE,24,1,FALSE,ALTA
