fonte_dados,cod_estacao,nome_estacao,ano,datahora_local,precipitacao_mm,arquivo_origem
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-16T14:20:00Z,57.69,data(81).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-13T16:00:00Z,57.49,data(97).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-11T16:00:00Z,57.28,data(97).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-16T16:00:00Z,57.07,data(97).csv
CEMADEN,261010301A,PALMEIRINA - APAC,2025,2025-03-11T19:30:00Z,57.07,data(104).csv
INMET,82753,OURICURI,2018,2018-12-24T12:00:00Z,57,dados_82753_H_2017-01-01_2025-12-31.csv
CEMADEN,261420401A,Centro,2025,2025-01-30T12:20:00Z,56.86,data(102).csv
INMET,82900,RECIFE (CURADO),2017,2017-04-13T12:00:00Z,56,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-24T18:20:00Z,55.81,data(81).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-07T15:40:00Z,55.6,data(97).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-06T15:50:00Z,54.97,data(97).csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-06T16:00:00Z,54.76,data(97).csv
INMET,A349,IBIMIRIM,2019,2019-11-26T09:00:00Z,54.4,dados_A349_H_2017-01-01_2025-12-31.csv
CEMADEN,260040101A,Bairro D´Ouro,2025,2025-06-27T21:10:00Z,54.13,data(107).csv
INMET,82890,ARCO VERDE,2021,2021-04-15T12:00:00Z,54,dados_82890_H_2017-01-01_2025-12-31.csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-06T15:40:00Z,53.92,data(97).csv
CEMADEN,261160605A,Nova Descoberta,2023,2023-04-17T18:10:00Z,53.92,data(81).csv
INMET,82893,GARANHUNS,2017,2017-05-28T12:00:00Z,53.5,dados_82893_H_2017-01-01_2022-11-11.csv
CEMADEN,260795004H,Rio Una,2025,2025-02-27T11:20:00Z,53.2,data(103).csv
INMET,82753,OURICURI,2021,2021-04-23T12:00:00Z,52.8,dados_82753_H_2017-01-01_2025-12-31.csv
INMET,82900,RECIFE (CURADO),2020,2020-04-26T12:00:00Z,52.6,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,261080601A,PEDRA - APAC,2020,2020-06-09T16:40:00Z,52.24,data(47).csv
INMET,82797,SURUBIM,2020,2020-06-15T12:00:00Z,52.2,dados_82797_H_2017-01-01_2025-12-31.csv
INMET,82797,SURUBIM,2017,2017-07-21T12:00:00Z,52,dados_82797_H_2017-01-01_2025-12-31.csv
INMET,82886,CABROBO,2020,2020-02-06T12:00:00Z,52,dados_82886_H_2017-01-01_2025-07-01.csv
INMET,82983,PETROLINA,2021,2021-01-13T12:00:00Z,52,dados_82983_H_2017-01-01_2025-12-31.csv
INMET,82893,GARANHUNS,2017,2017-05-25T12:00:00Z,51.8,dados_82893_H_2017-01-01_2022-11-11.csv
INMET,82789,TRIUNFO,2017,2017-04-06T12:00:00Z,51.2,dados_82789_H_2017-01-01_2018-03-28.csv
CEMADEN,260875001A,Jutaí,2020,2020-06-25T10:30:00Z,51.19,data(47).csv
CEMADEN,260620002A,Centro,2022,2022-05-24T21:00:00Z,50.8,data(70).csv
CEMADEN,261070705A,Janga2,2017,2017-07-05T07:20:00Z,50.77,data(12).csv
CEMADEN,260790103A,Cavaleiro,2024,2024-02-24T10:50:00Z,50.35,data(91).csv
CEMADEN,261050901A,PASSIRA  - APAC,2025,2025-10-02T11:20:00Z,50.35,data(111).csv
INMET,82983,PETROLINA,2017,2017-02-21T12:00:00Z,50,dados_82983_H_2017-01-01_2025-12-31.csv
INMET,82893,GARANHUNS,2017,2017-05-26T12:00:00Z,49.8,dados_82893_H_2017-01-01_2022-11-11.csv
CEMADEN,261160601A,Varzea,2024,2024-06-14T21:40:00Z,49.72,data(95).csv
INMET,82983,PETROLINA,2020,2020-11-02T12:00:00Z,49.6,dados_82983_H_2017-01-01_2025-12-31.csv
INMET,A329,CABROBO,2022,2022-11-29T19:00:00Z,49.6,dados_A329_H_2017-01-01_2025-12-31.csv
INMET,A349,IBIMIRIM,2022,2022-11-03T07:00:00Z,49.6,dados_A349_H_2017-01-01_2025-12-31.csv
INMET,82900,RECIFE (CURADO),2017,2017-05-28T12:00:00Z,49.4,dados_82900_H_2017-01-01_2020-08-31.csv
CEMADEN,260960003A,Bonsucesso,2024,2024-08-20T15:50:00Z,49.3,data(97).csv
CEMADEN,260720804A,Rurópolis,2017,2017-05-25T02:50:00Z,49.09,data(10).csv
CEMADEN,260130001A,Centro,2025,2025-06-09T18:40:00Z,48.67,data(107).csv
INMET,82886,CABROBO,2018,2018-02-10T12:00:00Z,48.6,dados_82886_H_2017-01-01_2025-07-01.csv
