fonte_dados,cod_estacao,nome_estacao,municipios,uf,tipo_estacao,periodicidade_fonte,situacao_estacao,altitude_m,latitude_min,latitude_max,longitude_min,longitude_max,n_registros,inicio_local,fim_local,anos,n_precipitacao_ausente,n_precipitacao_negativa,n_registros_duplicados,n_registros_conflitantes,latitude_ref,longitude_ref,amplitude_lat,amplitude_lon,flag_coordenada_variavel,primeiro_ano,ultimo_ano,n_anos_com_dados,n_anos_12_meses,n_anos_300_dias,n_anos_330_dias,media_dias_com_registro,menor_prop_registros_com_valor,media_prop_registros_com_valor,cod_estacao_mp10,estacao_mp10,municipio_mp10,latitude_mp10,longitude_mp10,distancia_km,faixa_distancia
INMET,A322,GARANHUNS,"","",AUTOMATICA,Horaria,Operante,827.78,-8.91083333,-8.91083333,-36.49333333,-36.49333333,78885,2017-01-01T03:00:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,27396,0,0,0,-8.91083333,-36.49333333,0,0,FALSE,2017,2025,9,9,9,9,365.222222222222,0,0.652777777777778,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.706374706551,>50 km
INMET,82893,GARANHUNS,"","",CONVENCIONAL,Horaria,Fechada,827.78,-8.91083333,-8.91083333,-36.49333333,-36.49333333,6422,2017-01-01T12:00:00Z,2022-11-11T18:00:00Z,2017;2018;2019;2020;2021;2022,4638,0,0,0,-8.91083333,-36.49333333,0,0,FALSE,2017,2022,6,5,6,5,356.833333333333,0,0.271514833944657,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.706374706551,>50 km
CEMADEN,260600201A,Garanhuns [UFRPE] - APAC,GARANHUNS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.91095,-8.91095,-36.49357,-36.49357,14257,2023-08-11T15:00:00Z,2025-12-31T23:40:00Z,2023;2024;2025,0,0,0,0,-8.91095,-36.49357,0,0,FALSE,2023,2025,3,1,1,1,178.666666666667,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,170.735079891844,>50 km
CEMADEN,260800801A,Jataúba [Centro] - APAC,JATAÚBA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-7.98526,-7.98526,-36.50162,-36.50162,22318,2023-07-24T19:00:00Z,2025-12-31T23:30:00Z,2023;2024;2025,0,0,1504,0,-7.98526,-36.50162,0,0,FALSE,2023,2025,3,2,2,2,287,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,171.464135175008,>50 km
CEMADEN,260600201C,GARANHUNS,GARANHUNS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.839755,-8.839755,-36.545166,-36.545166,43263,2017-01-07T21:40:00Z,2025-09-03T12:00:00Z,2017;2018;2019;2022;2023;2024;2025,0,0,2,0,-8.839755,-36.545166,0,0,FALSE,2017,2025,7,2,2,2,194.714285714286,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,173.990410872677,>50 km
CEMADEN,260860201A,LAGOA DO OURO - APAC,LAGOA DO OURO,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-9.120547,-9.120547,-36.462394,-36.462394,74939,2017-12-14T15:50:00Z,2025-12-31T23:40:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1598,0,-9.120547,-36.462394,0,0,FALSE,2017,2025,9,7,7,7,309.111111111111,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,176.064407851046,>50 km
CEMADEN,260380101A,CAPOEIRAS - APAC,CAPOEIRAS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.7348,-8.7348,-36.627,-36.627,68400,2017-12-06T12:30:00Z,2025-09-03T12:30:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,0,-8.7348,-36.627,0,0,FALSE,2017,2025,9,5,6,5,290.111111111111,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,180.27446821901,>50 km
CEMADEN,260320701A,CAETES - APAC,CAETÉS,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.773333,-8.773333,-36.621667,-36.621667,68569,2017-12-06T11:50:00Z,2025-12-31T23:50:00Z,2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1400,0,-8.773333,-36.621667,0,0,FALSE,2017,2025,9,6,6,6,293.888888888889,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,180.510122513405,>50 km
CEMADEN,261090501C,PESQUEIRA,PESQUEIRA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.395583,-8.395583,-36.657944,-36.657944,54007,2017-01-09T20:50:00Z,2025-12-31T23:00:00Z,2017;2018;2019;2020;2022;2023;2024;2025,0,0,1510,0,-8.395583,-36.657944,0,0,FALSE,2017,2025,8,5,4,3,269.875,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,180.903682598041,>50 km
CEMADEN,261090501A,IFPE - APAC | SALOBRO - APAC,PESQUEIRA,PE,PLUVIOMETRICA_AUTOMATICA,"","",,-8.36686,-8.36686,-36.67984,-36.67984,23345,2023-07-01T00:10:00Z,2025-12-31T23:50:00Z,2023;2024;2025,0,0,1500,0,-8.36686,-36.67984,0,0,FALSE,2023,2025,3,1,2,1,223.75,1,1,12,IPOJUCA,Ipojuca,-8.44359,-35.01403,183.438696512843,>50 km
