estacao_historica,ano_alvo,data_local,cod_estacao,nome_estacao,municipios,distancia_km,precip_diaria_final_mm,n_registros_final,n_registros_00h_relocados,max_acumulado_intervalo_mm,n_obs_validas,maior_gap_dia_min,cobertura_60,cobertura_70,cobertura_90,dia_mp10_valido,media_mp10,tem_precipitacao_final,flag_borda_2025
IPOJUCA,2025,2025-06-19,261420401A,Centro,SIRINHAÉM,19.951784019321,13.59,45,1,1.97,45,60,TRUE,TRUE,TRUE,TRUE,15.8321666666667,TRUE,FALSE
IPOJUCA,2025,2025-06-20,261420401A,Centro,SIRINHAÉM,19.951784019321,7.8,28,1,5.04,28,80,FALSE,FALSE,TRUE,TRUE,26.6671666666667,TRUE,FALSE
IPOJUCA,2025,2025-06-21,261420401A,Centro,SIRINHAÉM,19.951784019321,8.32,40,1,1.37,40,60,TRUE,TRUE,TRUE,TRUE,18.4922083333333,TRUE,FALSE
IPOJUCA,2025,2025-06-22,261420401A,Centro,SIRINHAÉM,19.951784019321,6.73,30,1,2.56,30,60,TRUE,TRUE,TRUE,TRUE,13.6385,TRUE,FALSE
IPOJUCA,2025,2025-06-23,261420401A,Centro,SIRINHAÉM,19.951784019321,21.43,38,1,2.56,38,60,TRUE,TRUE,TRUE,TRUE,16.1085416666667,TRUE,FALSE
IPOJUCA,2025,2025-06-24,261420401A,Centro,SIRINHAÉM,19.951784019321,20.36,43,1,3.35,43,60,TRUE,TRUE,TRUE,TRUE,27.7883333333333,TRUE,FALSE
IPOJUCA,2025,2025-06-25,261420401A,Centro,SIRINHAÉM,19.951784019321,10.11,35,1,6.92,35,60,TRUE,TRUE,TRUE,TRUE,23.9471666666667,TRUE,FALSE
IPOJUCA,2025,2025-06-26,261420401A,Centro,SIRINHAÉM,19.951784019321,29.96,53,1,5.66,53,110,FALSE,FALSE,FALSE,TRUE,16.562380952381,TRUE,FALSE
IPOJUCA,2025,2025-06-27,261420401A,Centro,SIRINHAÉM,19.951784019321,11.68,44,1,2.95,44,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-06-28,261420401A,Centro,SIRINHAÉM,19.951784019321,12.28,38,1,2.76,38,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-06-29,261420401A,Centro,SIRINHAÉM,19.951784019321,26.27,46,1,5.9,46,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-06-30,261420401A,Centro,SIRINHAÉM,19.951784019321,36.11,56,1,4.33,56,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-01,261420401A,Centro,SIRINHAÉM,19.951784019321,31.21,40,0,3.94,41,1020,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-02,261420401A,Centro,SIRINHAÉM,19.951784019321,0.2,15,1,0.2,14,1020,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE
IPOJUCA,2025,2025-07-03,261420401A,Centro,SIRINHAÉM,19.951784019321,4.57,34,1,0.79,34,60,TRUE,TRUE,TRUE,FALSE,,TRUE,FALSE
