fonte_dados,cod_estacao,nome_estacao,municipios,tipo_estacao,latitude,longitude,distancia_gaibu_km,faixa_distancia,tipo_regra_anual,criterio_primario_anual,elegivel_pareamento_primario_anual,n_dias_calendario,n_dias_com_valor,n_dias_primario,n_dias_sens_1,n_dias_sens_2,n_dias_convencional,prop_dias_primario,prop_dias_sens_1,prop_dias_sens_2,n_dias_mp10_validos,n_dias_precip_com_valor,n_overlap_primario,n_overlap_sens_1,n_overlap_sens_2,n_overlap_convencional,tipo_regra_mp10,criterio_primario_mp10,elegivel_pareamento_primario_mp10,pct_dias_precip_com_valor,pct_overlap_primario,pct_overlap_sens_1,pct_overlap_sens_2,pct_overlap_convencional,estacao_historica,ano_alvo
CEMADEN,261160604G,Barreira,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.024217,-34.9645265,33.901553427558,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,93,36,49,60,0,0.0986301369863014,0.134246575342466,0.164383561643836,262,36,16,22,27,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,13.7404580152672,6.10687022900763,8.3969465648855,10.3053435114504,0,Gaibu,2019
CEMADEN,260345401A,Timbi,CAMARAGIBE,PLUVIOMETRICA_AUTOMATICA,-8.026,-34.993,33.9325385287528,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,333,267,272,283,0,0.731506849315069,0.745205479452055,0.775342465753425,262,247,198,202,212,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,94.2748091603053,75.5725190839695,77.0992366412214,80.9160305343512,0,Gaibu,2019
CEMADEN,261420402A,SIRINHAEM - APAC,SIRINHAÉM,PLUVIOMETRICA_AUTOMATICA,-8.594572,-35.109969,34.0259458285015,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,347,289,299,305,0,0.791780821917808,0.819178082191781,0.835616438356164,262,248,203,211,215,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,94.6564885496183,77.4809160305344,80.5343511450382,82.0610687022901,0,Gaibu,2019
CEMADEN,261160610A,Alto Mandu,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.024,-34.927,34.0664999152711,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,350,258,263,273,0,0.706849315068493,0.72054794520548,0.747945205479452,262,252,195,199,205,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,96.1832061068702,74.4274809160305,75.9541984732825,78.2442748091603,0,Gaibu,2019
CEMADEN,261420401A,Centro,SIRINHAÉM,PLUVIOMETRICA_AUTOMATICA,-8.592,-35.116,34.1148043333713,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,355,258,275,290,0,0.706849315068493,0.753424657534247,0.794520547945206,262,252,185,197,205,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,96.1832061068702,70.6106870229008,75.1908396946565,78.2442748091603,0,Gaibu,2019
CEMADEN,260345401G,Convento Carmelo,CAMARAGIBE,PLUVIOMETRICA_AUTOMATICA,-8.020025,-34.977156,34.4322179507467,>30-50 km,,,,,,,,,,,,,262,0,0,0,0,0,,,FALSE,0,0,0,0,0,Gaibu,2019
CEMADEN,261160603A,Dois Irmãos | Estação Experimental UFRPE,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.018378,-34.947058,34.553669877227,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,128,110,117,118,0,0.301369863013699,0.32054794520548,0.323287671232877,262,98,82,88,89,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,37.4045801526718,31.2977099236641,33.587786259542,33.969465648855,0,Gaibu,2019
CEMADEN,260345402A,Alberto Maia,CAMARAGIBE,PLUVIOMETRICA_AUTOMATICA,-8.02,-35.003,34.7407939001783,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,353,285,294,298,0,0.780821917808219,0.805479452054795,0.816438356164383,262,250,204,209,213,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.4198473282443,77.8625954198473,79.7709923664122,81.2977099236641,0,Gaibu,2019
CEMADEN,261160613A,Morro da Conceição,RECIFE,PLUVIOMETRICA_AUTOMATICA,-8.019,-34.915,34.7679098694896,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,354,289,300,306,0,0.791780821917808,0.821917808219178,0.838356164383562,262,251,212,217,221,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,95.8015267175572,80.9160305343512,82.824427480916,84.351145038168,0,Gaibu,2019
CEMADEN,260345404A,Jardim Primavera,CAMARAGIBE,PLUVIOMETRICA_AUTOMATICA,-8.0167125,-34.978283,34.8081457226698,>30-50 km,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,365,356,274,288,297,0,0.750684931506849,0.789041095890411,0.813698630136986,262,253,198,208,214,0,CEMADEN,CEMADEN_MAX_GAP_60MIN,TRUE,96.5648854961832,75.5725190839695,79.3893129770992,81.6793893129771,0,Gaibu,2019
